id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_30d_in_currency
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,55.09,4774258591,24,108843940390.0,195797837.0,56.06,53.67,0.972862,1.79767,83775147.0,1.78607,86546108.0,1973085295.0,1973085295.0,236.84,-76.73578,2021-04-01T13:29:41.564Z,20.06,174.67671,2020-12-29T22:32:28.483Z,,2021-07-10T04:40:04.375Z,,119.26314720151088,-29.113754202247762
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.062120999999999996,4450561689,25,,800747552.0,0.06317,0.059944,0.00089603,1.4635,62073456.0,1.41446,71660220128.0,100850743812.0,,0.231673,-73.23964,2018-01-05T00:00:00.000Z,0.00180434,3335.96058,2017-11-12T00:00:00.000Z,"{'times': 31.69552394605893, 'currency': 'usd', 'percentage': 3169.5523946058934}",2021-07-10T04:39:20.902Z,236.3502160188263,111.0220279287486,-17.75490811577551
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.022125799999999998,4085339094,26,,804618414.0,0.022300880000000002,0.02199365,-2.5045779000000003e-05,-0.11307,859054651.0,26.62675,184693447520.127,184693447520.127,,0.058843,-62.39161,2020-10-21T11:24:27.820Z,0.00620705,256.53077,2021-03-04T08:11:37.438Z,,2021-07-10T04:38:46.499Z,4.935922909062127,3.722527673965776,0.111410233215256
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,8.01e-06,3987523597,27,,308915611.0,8.13e-06,7.87e-06,3.8665e-08,0.48507000000000006,12143456.0,0.30547,497730966630395.75,1000000000000000.0,,3.791e-05,-78.95113,2021-05-10T22:53:42.945Z,5.5999999999999994e-11,14157381.65995,2020-11-28T11:26:25.838Z,,2021-07-10T04:40:03.715Z,,,8.233579633952683
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,4.14,3969581236,28,,2857593013.0,4.39,3.5300000000000002,0.552734,15.40905,510250792.0,14.74999,960358588.7991,,,22.71,-81.84251,2018-04-29T07:50:33.540Z,0.5024000000000001,720.81935,2017-10-23T00:00:00.000Z,"{'times': 3.181624874082161, 'currency': 'usd', 'percentage': 318.1624874082162}",2021-07-10T04:39:54.552Z,56.401608191883724,40.846308446774906,-22.07219711053545
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,300.74,3861293092,29,4813477372.0,472928726.0,312.4,284.87,2.44,0.81874,37409318.0,0.9783100000000001,12834939.215129461,16000000.0,16000000.0,661.69,-54.64285,2021-05-18T21:19:59.514Z,26.02,1053.29544,2020-11-05T09:20:11.928Z,,2021-07-10T04:40:05.607Z,,269.1239794024399,-11.065203375288208
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,213.5,3822973034,30,,155418044.0,215.47,202.43,5.9,2.84038,91307474.0,2.4468300000000003,17949436.8033503,,,542.33,-60.85872,2018-01-09T00:00:00.000Z,0.21617699999999998,98094.28341,2015-01-14T00:00:00.000Z,,2021-07-10T04:39:27.563Z,216.6000693014472,46.10296388441114,-22.252901911864097
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,13.29,3662122267,31,,584940532.0,13.71,12.38,0.683097,5.41672,239125943.0,6.98587,275669560.272053,,,31.7,-58.26093,2021-05-07T16:18:33.469Z,1.16,1040.63997,2020-03-13T02:27:44.591Z,"{'times': 131.9399928994969, 'currency': 'usd', 'percentage': 13193.99928994969}",2021-07-10T04:40:03.598Z,251.7137665136113,163.15127005420328,-4.9721936850360535
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,8.23,3401399498,32,,490503670.0,8.52,6.93,0.8528089999999999,11.55434,353652799.0,11.60375,419318834.415057,996605248.746619,,22.36,-64.04163,2021-03-21T11:59:15.174Z,0.12179799999999999,6500.44756,2020-03-18T17:03:01.083Z,,2021-07-10T04:39:36.764Z,3868.2735528404364,1653.6603968391355,37.34639886659606
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.11931699999999999,3014888010,33,,45838013.0,0.12158799999999999,0.1145,0.00429884,3.7375100000000003,108432954.0,3.73076,25263013692.0,30263013692.0,,0.27702000000000004,-56.96469,2021-02-22T11:33:57.751Z,0.0121196,883.66656,2019-02-08T00:00:00.000Z,,2021-07-10T04:40:09.047Z,-16.070355094633374,101.17114358869908,-3.539056137433973
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02156969,2993826709,34,,35259177.0,0.02167222,0.02142772,2.8400000000000003e-05,0.13185000000000002,-6395482.035938263,-0.21317000000000003,138844589592.713,138844589592.713,,0.03159087,-31.75819,2020-10-12T21:29:00.007Z,0.0072885400000000005,195.78169,2020-03-18T04:29:40.819Z,,2021-07-10T04:38:43.848Z,3.258929952981672,3.509863878965071,0.12681597211158102
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,14.5,2807970083,35,,130486524.0,14.82,13.87,0.475058,3.38671,99192070.0,3.66188,193605752.018204,,,43.96,-67.04719,2021-04-30T10:08:22.934Z,0.194441,7350.90121,2020-11-03T14:29:34.165Z,,2021-07-10T04:39:47.849Z,,2944.9113885258002,-21.399192971941496
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,0.893803,2787534068,36,8941208277.0,213161596.0,0.933345,0.855869,0.02870045,3.31758,96188846.0,3.57401,3117625696.66787,10000000000.0,10000000000.0,3.56,-74.92549,2019-06-20T14:51:19.480Z,0.105336,747.71219,2020-03-13T02:20:48.438Z,"{'times': -0.627581998657312, 'currency': 'usd', 'percentage': -62.75819986573129}",2021-07-10T04:40:09.288Z,267.92118138909717,173.36002617253433,-14.534913347555456
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,2.91,2768204083,37,,2851517.0,2.93,2.87,0.02808792,0.9732600000000001,19074581.0,0.69384,949796207.9,985239504.0,,3.95,-26.32605,2021-05-14T13:54:31.192Z,0.799859,263.38031,2019-12-24T15:14:35.376Z,,2021-07-10T04:39:33.970Z,137.8743949594675,115.14009437326852,18.451705630625668
celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,6.35,2686064599,38,,13496143.0,6.59,6.26,0.079828,1.27389,19102891.0,0.71628,423415980.3475,695658160.9671,,8.05,-21.29464,2021-06-04T00:04:12.584Z,0.02620268,24070.89212,2018-12-07T00:00:00.000Z,"{'times': 20.154292647096383, 'currency': 'usd', 'percentage': 2015.4292647096383}",2021-07-10T04:37:06.804Z,1506.8417608683885,124.05253943140022,-12.205214988567082
amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.055365,2654225092,39,5485198289.0,15760841.0,0.056478,0.053416,0.00065819,1.20313,21352874.0,0.8110100000000001,48013928909.1577,99225323005.4723,99225164238.50153,0.12081299999999999,-54.37863,2021-06-16T16:03:41.147Z,0.0025050100000000002,2100.24341,2020-11-04T13:18:12.191Z,,2021-07-10T04:39:47.188Z,,732.6774866397441,-9.411345402050635
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,9.92,2651111775,40,,161981992.0,10.14,9.72,-0.084013823675,-0.84006,-43855307.677680016,-1.6273,267436117.72,300000000.0,,44.01,-77.51508,2021-05-03T01:03:16.108Z,0.580608,1604.17151,2019-01-14T00:00:00.000Z,,2021-07-10T04:38:04.894Z,99.70833449889302,76.23928089436701,-33.14237308369884
