,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,price_change_percentage_1y_in_currency
36,crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.094918,2388559982,37,,50287494,0.09696,0.091377,0.00297063,3.23079,60517340.0,2.5994900000000003,25263013692.0,30263013692.0,,0.27702000000000004,-65.86972,2021-02-22T11:33:57.751Z,0.0121196,680.12253,2019-02-08T00:00:00.000Z,2021-06-24T03:31:55.587Z,-23.805367241174093
37,celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,5.63,2372372073,38,,15651271,5.8100000000000005,5.57,-0.103916187726,-1.8132100000000002,-44612878.94962883,-1.8458100000000002,423415980.3475,695658160.9671,,8.05,-30.37239,2021-06-04T00:04:12.584Z,0.02620268,21283.05994,2018-12-07T00:00:00.000Z,2021-06-24T03:32:09.544Z,1798.7903681810863
38,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,128.26,2359780286,39,,540308223,130.16,122.99,3.47,2.78377,27585558.0,1.18282,18768582.894239,21000000.0,,489.75,-74.32757,2021-04-16T17:09:04.630Z,42.02,199.23612,2018-11-23T00:00:00.000Z,2021-06-24T03:31:51.227Z,-27.899278068135324
39,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,2.41,2294607452,40,,3585166,2.76,2.39,-0.280202448492,-10.39764,-228733015.97338676,-9.06469,950767232.9,985239504.0,,3.95,-38.82511,2021-05-14T13:54:31.192Z,0.799859,201.73151000000001,2019-12-24T15:14:35.376Z,2021-06-24T03:31:05.922Z,107.92571634278183
40,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,32.21,2264186383,41,,377126525,34.96,31.35,-1.419179808757,-4.22064,-107194174.09542704,-4.52033,70530000.0,100000000.0,,198.38,-83.89598,2018-01-15T00:00:00.000Z,0.078349,40675.51063,2016-10-21T00:00:00.000Z,2021-06-24T03:31:52.856Z,195.3137592975668
41,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,0.906748,2240037900,42,,120664063,0.921836,0.834634,0.068109,8.12139,164516737.0,7.92653,2476546028.8,,,4.34,-79.15373,2021-03-30T03:44:28.828Z,0.06044000000000001,1396.53817,2020-04-29T08:19:34.574Z,2021-06-24T03:31:32.608Z,431.8302901713589
42,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,38.06,2213596783,43,,628424,40.76,37.95,-2.105570284029,-5.242,-123268592.15158224,-5.2749500000000005,58158114.5661582,58158114.5661582,,87.15,-56.32414,2021-05-12T14:49:23.076Z,1.8900000000000001,1917.80948,2020-03-13T02:22:33.711Z,2021-06-24T03:13:57.968Z,682.752059473766
43,ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,25.49,2204011077,44,8560345884.0,44120648,27.56,25.06,-1.022082490563,-3.8552,-100503419.60836601,-4.36115,86988087.39911324,337860423.466341,337860423.466341,63.12,-59.85729,2021-05-12T03:59:29.290Z,1.15,2103.75443,2019-09-06T00:00:00.000Z,2021-06-24T03:32:07.438Z,738.7343408521447
44,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,2.64,2203324741,45,,120285655,2.7800000000000002,2.58,0.04767506,1.84226,40133216.0,1.85528,836005971.508229,,,8.27,-68.47667,2021-05-07T02:09:26.683Z,0.350476,643.50282,2018-12-07T00:00:00.000Z,2021-06-24T03:31:44.369Z,-5.239096347398209
45,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,9.26,2174868567,46,,451284446,10.52,9.06,-0.46306362125399997,-4.76362,-142819809.60784578,-6.16217,238526146.88641,,,31.7,-71.24116,2021-05-07T16:18:33.469Z,1.16,685.91796,2020-03-13T02:27:44.591Z,2021-06-24T03:31:59.551Z,234.98660896330068
46,terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,5.19,2125918632,47,,174120494,5.64,4.99,-0.443184764807,-7.86094,-225386955.4583416,-9.58561,417440108.43255,995276066.582003,,22.36,-77.01238,2021-03-21T11:59:15.174Z,0.12179799999999999,4119.56218,2020-03-18T17:03:01.083Z,2021-06-24T03:31:25.238Z,2370.7680585584444
47,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.7564639999999999,2102627664,48,,61296379,0.8313159999999999,0.74599,-0.007767744268,-1.01641,-21577722.02045679,-1.0158,2779530283.277761,2779530283.0,,5.25,-85.69613,2017-12-19T00:00:00.000Z,0.081637,819.65076,2020-03-13T02:22:41.168Z,2021-06-24T03:31:55.273Z,231.17314686130226
48,terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,1912602703,49,,62205616,1.01,0.993,0.00075413,0.0752,722673.0,0.0378,1907590013.06711,1907624328.09705,,1.09,-8.17644,2021-01-11T22:30:57.984Z,0.857992,16.85748,2021-05-19T13:14:26.898Z,2021-06-24T03:32:08.681Z,
49,avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,11.04,1892674645,50,7903608952.0,72696946,11.79,10.83,-0.439992475132,-3.83354,-85812508.79594874,-4.33728,172418164.000451,377752194.4695483,720000000.0,59.4,-81.52116,2021-02-10T22:23:34.616Z,2.8,291.88931,2020-12-31T13:15:21.540Z,2021-06-24T03:31:37.941Z,
50,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2115.96,1892347955,51,2111259810.0,130634434,2469.85,2093.83,-311.363518559578,-12.82743,-295048402.12294006,-13.48857,901310.9472893132,991423.403674967,1005577.0,6292.31,-66.63575,2021-05-03T21:54:29.333Z,168.36,1146.97918,2020-03-16T20:52:36.527Z,2021-06-24T03:31:58.995Z,321.0492793924731
51,safemoon,safemoon,SafeMoon,https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846,3.07e-06,1779196647,52,,11905764,3.3199999999999996e-06,3.0399999999999997e-06,-6.4629e-08,-2.06029,7299508.0,0.41196000000000005,580956942054883.5,1000000000000000.0,,1.0940000000000002e-05,-72.01503,2021-05-11T20:32:53.513Z,4.436e-08,6803.87131,2021-03-14T19:51:56.741Z,2021-06-24T03:31:21.481Z,
52,kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,191.62,1698868101,53,1891814641.0,258871280,221.99,186.18,-22.403931664458,-10.4678,-227207856.9300928,-11.79641,8980098.074112339,10000000.0,10000000.0,621.71,-69.56394,2021-05-18T05:04:41.858Z,0.8765719999999999,21486.64397,2020-01-14T19:20:20.768Z,2021-06-24T03:32:00.559Z,3170.460657121564
53,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.590671,1698082250,54,5859692345.0,152516943,0.615794,0.536076,0.04760554,8.76608,128025468.0,8.15419,2897903422.0,10000000000.0,10000000000.0,2.84,-79.33512,2021-02-12T07:28:45.775Z,0.103254,468.68664,2020-12-17T21:28:41.332Z,2021-06-24T03:32:18.418Z,
54,huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,9.82,1671792433,55,4896741209.0,201492465,10.26,9.67,-0.18184591362799998,-1.8174800000000002,-35167989.641156435,-2.06027,170704593.25441208,500000000.0,500000000.0,39.66,-75.30688,2021-05-12T14:42:21.586Z,0.9086200000000001,977.84158,2019-01-30T00:00:00.000Z,2021-06-24T03:31:57.567Z,131.34060776611852
55,bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00251642,1644640606,56,,425145815,0.00254834,0.00224706,0.00022874,9.99875,134240164.0,8.88772,659071882049.0,990000000000.0,,0.01356626,-81.6043,2021-04-05T04:09:06.433Z,0.00013814,1706.54211,2020-03-13T02:22:57.629Z,2021-06-24T03:31:27.208Z,719.0258692987289
56,hedera-hashgraph,hbar,Hedera Hashgraph,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,0.181313,1585523381,57,,68000606,0.188819,0.173767,-0.005934573641,-3.16937,-52721224.562111616,-3.21815,8805029133.0,50000000000.0,,0.44836499999999996,-59.83849,2021-03-15T01:53:34.974Z,0.009861110000000001,1726.06415,2020-01-02T17:30:24.852Z,2021-06-24T03:31:38.862Z,330.49338574517645
57,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,5.43,1467319204,58,2702801406.0,155925834,6.54,5.26,-0.727786673079,-11.81561,-209212634.22062635,-12.47889,271444139.53627056,500000000.0,500000000.0,20.87,-74.09567,2021-05-19T00:30:09.436Z,0.00851264,63400.90819,2019-09-28T00:00:00.000Z,2021-06-24T03:31:39.481Z,1612.4357070574843
58,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,1.0,1441414289,59,,84094771,1.01,0.989483,0.00069848,0.06977000000000001,3240790.0,0.22534,1444284737.23,1444284737.23,,1.62,-38.33768,2018-08-26T20:41:09.375Z,0.8835500000000001,12.95487,2020-03-12T10:47:51.380Z,2021-06-24T03:31:52.090Z,0.08439895010844001
59,decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,109.15,1422321821,60,,36937543,113.21,105.66,2.48,2.32391,29419708.0,2.11212,13051815.6404577,21000000.0,,247.35,-56.15967,2021-04-17T00:41:14.790Z,0.43154000000000003,25028.51627,2016-12-26T00:00:00.000Z,2021-06-24T03:31:51.631Z,580.3679849474785
60,huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,32629.0,1300348970,61,1300348970.0,7499037,34596.0,32448.0,-759.796286498233,-2.27563,-30996626.294306755,-2.32822,39906.36705999,39906.36705999,39906.36705999,69325.0,-52.9968,2021-05-10T02:33:06.038Z,11209.02,190.70334,2020-10-12T03:56:16.768Z,2021-06-24T03:28:25.708Z,
61,waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,12.77,1273537519,63,,175845645,13.71,12.53,-0.201444042306,-1.5533800000000002,-22497731.160578012,-1.73589,100000000.0,100000000.0,,43.01,-70.55506,2021-05-04T06:49:41.528Z,0.130878,9577.2514,2016-08-02T00:00:00.000Z,2021-06-24T03:32:12.309Z,928.8107711000164
62,sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,6.74,1273189241,62,1678426152.0,253633996,7.48,6.63,-0.638528866095,-8.65264,-127761216.1380086,-9.11961,189640342.48461682,225338744.383395,250000000.0,23.38,-71.25234,2021-03-13T23:44:36.774Z,0.475381,1313.64085,2020-11-04T14:53:53.560Z,2021-06-24T03:31:58.168Z,
63,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,122.77,1248303728,64,,535291232,131.84,120.67,-4.566581137062,-3.58624,-49208376.81857991,-3.79252,10194980.7088352,18920000.0,,1493.59,-91.82202,2017-12-20T00:00:00.000Z,0.21389899999999998,57004.28835,2014-02-14T00:00:00.000Z,2021-06-24T03:31:58.082Z,65.8342224969107
64,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.233807,1239118337,65,,373312025,0.255705,0.227787,-0.007925523822,-3.27863,-49433402.25436878,-3.83635,5344064580.0,8888888888.0,,0.878633,-73.61152,2021-03-13T08:04:21.200Z,0.00410887,5542.85811,2019-09-28T00:00:00.000Z,2021-06-24T03:31:46.407Z,1561.1292611001493
